"","houseValue","income","houseAge","rooms","bedrooms","population","households","latitude","longitude"
"93",162500,0.75,52,96,31,191,NA,37.8,-122.28
"94",NA,2.6354,27,1055,347,718,302,37.79,-122.27
"95",179200,1.8477,39,1715,623,1327,467,37.8,-122.27
"96",130000,2.0096,36,5329,2477,3469,2323,37.8,-122.26
"97",183800,2.8345,31,4596,1331,2048,1180,37.82,-122.26
"98",125000,2.0062,29,335,107,202,91,37.81,-122.26
"99",170000,1.2185,NA,3682,NA,NA,1250,37.82,-122.26
"100",193100,2.6104,37,3633,1085,1838,980,37.82,-122.26
"101",257800,2.4912,29,4656,1414,2304,1250,37.81,-122.25
"102",273400,3.2177,28,5806,1603,2563,1497,37.81,-122.25
"103",NA,3.125,39,854,242,389,228,37.81,-122.25
"104",350000,2.5795,52,2155,701,895,613,37.81,-122.25
"105",335700,2.8406,34,5871,1914,2689,1789,37.81,-122.26
"106",313400,4.9306,52,1509,225,674,244,37.82,-122.24
"107",268500,3.2727,52,2026,482,709,456,37.81,-122.24
"108",259400,3.1691,NA,1758,460,686,422,37.81,-122.25
"109",NA,3.9,52,3481,751,1444,718,37.82,-122.24
"110",225000,3.9063,28,3337,855,1520,802,37.82,-122.25
"111",262500,5.0917,52,1424,289,550,253,37.82,-122.25
"112",218500,2.6429,32,3809,1098,1806,1022,37.82,-122.25
"113",255000,3.0233,26,3959,1196,1749,NA,37.82,-122.25
"114",224100,3.1484,NA,2376,559,939,519,37.83,-122.25
"115",243100,3.4722,NA,NA,428,675,422,37.83,-122.25
"116",231600,3.1429,NA,1279,287,534,291,37.83,-122.25
"117",NA,2.4234,28,5022,1750,2558,1661,37.83,-122.25
"118",234100,3.0897,52,4190,1105,1786,1037,37.83,-122.25
"119",327600,5.8596,50,2515,399,970,373,37.84,-122.23
"120",347600,5.2868,47,3175,NA,1098,485,37.84,-122.23
"121",366100,5.956,41,2576,406,794,376,37.83,-122.24
"122",335000,4.9643,37,NA,54,98,47,37.85,-122.24
"123",373600,6.3434,52,2800,411,1061,403,37.85,-122.23
"124",389500,5.1773,52,3529,574,1177,555,37.84,-122.24
"125",391100,7.2354,52,2612,365,901,367,37.85,-122.24
"126",337300,5.457,28,5287,1048,2031,NA,37.85,-122.22
"127",295200,NA,50,2935,473,1031,NA,37.84,-122.22
"128",292300,6.0194,44,3424,597,1358,597,37.84,-122.21
"129",NA,7.5544,40,4991,674,1616,654,37.83,-122.21
"130",311500,6.0666,30,2211,346,844,343,37.84,-122.2
"131",325900,7.0548,34,3038,490,1140,496,37.84,-122.21
"132",392600,NA,18,1617,210,533,194,37.84,-122.19
"133",NA,7.4882,35,2865,460,1072,443,37.84,-122.2
"134",333300,6.8976,34,5065,788,1627,766,37.83,-122.21
"135",335200,8.2049,NA,NA,184,463,190,37.83,-122.19
"136",351200,8.401,26,1589,223,542,211,37.83,-122.2
"137",368900,6.8538,29,1791,271,661,269,37.83,-122.19
"138",365900,NA,32,1835,264,635,263,37.82,-122.19
"139",366700,7.0175,37,1229,181,420,176,37.82,-122.2
"140",NA,6.3302,39,3770,NA,1265,NA,37.82,-122.2
"141",483300,6.3624,30,292,38,126,NA,37.81,-122.18
"142",331400,7.0549,52,2375,333,813,350,37.82,-122.21
"143",323500,6.7851,45,2964,436,1067,426,37.81,-122.2
"144",216700,NA,50,2833,605,1260,552,37.8,-122.21
"145",233100,NA,38,2254,535,951,487,37.8,-122.21
"146",296400,5.2402,52,1389,212,510,224,37.81,-122.21
"147",273700,6.5217,52,1971,335,765,308,37.81,-122.22
"148",227700,3.2632,52,2183,465,1129,460,37.8,-122.22
"149",199600,NA,52,2286,464,1073,441,37.8,-122.22
"150",239800,4.5428,52,2721,541,1185,515,37.8,-122.22
"151",270100,4.072,52,2024,339,756,340,37.81,-122.22
"152",302100,5.3509,52,2944,536,NA,521,37.81,-122.22
"153",NA,3.1603,52,2033,486,787,459,37.8,-122.23
"154",314700,4.7708,52,1433,229,612,213,37.81,-122.23
"155",390100,8.1564,52,2927,402,1021,380,37.81,-122.22
"156",410300,8.8793,52,2315,292,861,258,37.81,-122.23
"157",352400,6.8591,NA,2485,313,953,327,37.81,-122.24
"158",NA,6.0302,NA,1490,238,634,256,37.81,-122.24
"159",NA,NA,52,NA,365,NA,352,37.81,-122.23
"160",243800,2.7477,52,2093,550,918,483,37.81,-122.24
"161",211500,2.1944,52,888,168,360,NA,37.8,-122.24
"162",218400,3.0149,52,2087,510,1197,NA,37.8,-122.25
"163",269900,3.675,52,2513,502,1048,518,37.81,-122.24
"164",218800,3.225,46,3232,835,1373,747,37.81,-122.25
"165",225000,2.9345,42,4120,1065,1715,1015,37.8,-122.25
"166",250000,2.1429,NA,2364,792,1359,722,37.8,-122.25
"167",171400,1.6121,41,1471,469,NA,413,37.8,-122.25
"168",NA,1.3929,NA,2468,864,1335,773,37.8,-122.25
"169",125000,2.3173,27,1632,492,1171,429,37.79,-122.24
"170",97500,NA,45,1786,526,1475,460,37.79,-122.25
"171",125000,NA,50,629,188,742,NA,37.79,-122.25
"172",138800,2.181,52,NA,391,1086,363,37.79,-122.25
"173",116700,2.2303,36,1678,NA,1645,NA,37.8,-122.25
"174",NA,NA,43,2344,647,1710,644,37.8,-122.25
"175",127000,2.2697,52,996,228,731,228,37.8,-122.24
"176",128600,2.1563,52,1591,373,1118,347,37.8,-122.24
"177",140600,2.1348,52,1586,398,1006,335,37.8,-122.24
"178",182700,2.6292,47,2046,NA,1213,554,37.8,-122.24
"179",146900,2.3833,52,1192,289,772,257,37.8,-122.23
"180",122800,2.957,52,1803,420,1321,401,37.8,-122.24
"181",NA,2.5238,49,2838,749,1487,677,37.8,-122.24
"182",126600,1.9375,52,783,NA,488,186,37.8,-122.23
"183",127900,1.9028,51,1590,414,949,392,37.8,-122.23
"184",NA,2.25,50,1746,480,1149,415,37.8,-122.23
"185",111900,2.3929,52,1252,299,844,NA,37.8,-122.23
"186",112800,2.1917,43,5963,1344,4367,1231,37.79,-122.23
"187",107900,2.9357,52,1783,395,1659,412,37.79,-122.23
"188",137500,1.8854,30,999,264,1011,NA,37.79,-122.23
"189",105500,NA,39,NA,431,1464,389,37.79,-122.24
"190",95500,2.125,47,1372,395,1237,303,37.79,-122.24
"191",116100,3.375,52,674,180,NA,168,37.79,-122.24
"192",112200,2.2542,43,1626,376,1284,357,37.79,-122.24
"193",75000,2.1,51,175,43,228,55,37.79,-122.25
"194",112500,1.6,39,461,129,NA,123,37.79,-122.25
"195",125000,3.625,52,902,237,846,227,37.79,-122.25
"196",115000,1.6929,20,2373,779,1659,676,37.8,-122.26
"197",95000,NA,52,NA,128,520,NA,37.77,-122.22
"198",96400,2.59,52,1137,301,866,259,37.77,-122.22
"199",72000,2.57,52,NA,206,612,183,37.77,-122.23
"200",71300,2.6429,52,472,146,415,NA,37.78,-122.23
"201",80800,3.0257,NA,862,215,994,NA,37.78,-122.23
"202",128800,1.4886,50,1920,530,NA,NA,37.78,-122.22
"203",112500,1.9338,43,1420,472,1506,438,37.78,-122.23
"204",119400,1.4844,52,NA,258,1008,255,37.78,-122.23
"205",118100,1.6009,44,2340,825,2813,751,37.78,-122.23
"206",122500,2.0375,48,NA,396,NA,NA,37.79,-122.23
"207",106300,2.293,49,1175,217,859,219,37.79,-122.23
"208",132500,2.1494,NA,2343,574,1608,523,37.79,-122.22
"209",122700,1.6198,30,610,145,425,140,37.79,-122.23
"210",113300,1.3281,NA,930,199,564,184,37.79,-122.23
"211",109500,3.5156,44,1487,NA,961,272,37.79,-122.22
"212",164700,3.9048,NA,NA,690,2273,685,37.79,-122.22
"213",125000,3.0893,52,762,190,600,195,37.79,-122.21
"214",124700,2.6042,46,2366,575,1647,527,37.79,-122.22
"215",136700,2.5,49,1826,450,1201,424,37.79,-122.22
"216",141700,2.7969,38,3049,711,2167,659,37.79,-122.22
"217",150000,2.8321,NA,1640,376,939,NA,37.79,-122.2
"218",138800,2.9583,47,1543,307,859,NA,37.79,-122.21
"219",139200,2.8365,34,2364,NA,1517,516,37.79,-122.21
"220",NA,NA,35,1745,409,1143,386,37.79,-122.21
"221",156500,3.0682,39,NA,500,1109,464,37.8,-122.21
"222",NA,3.0757,39,2018,447,1221,446,37.8,-122.21
"223",273000,4.9559,43,3045,NA,1115,455,37.8,-122.2
"224",217100,4.7721,52,1547,293,706,268,37.8,-122.2
"225",NA,3.4861,52,3519,711,1883,706,37.8,-122.21
"226",NA,5.1184,41,2070,354,804,340,37.8,-122.2
"227",229700,4.0977,48,NA,263,NA,252,37.8,-122.21
"228",257300,4.744,48,1694,259,610,238,37.8,-122.19
"229",246900,4.2727,46,1938,NA,768,332,37.8,-122.19
"230",NA,NA,50,968,195,462,184,37.79,-122.19
"231",169600,4.1739,40,1060,256,667,235,37.79,-122.2
"232",203300,3.8487,46,2041,NA,1059,399,37.8,-122.2
"233",NA,4.0114,52,1813,271,637,277,37.8,-122.19
"234",231800,4.6563,45,2718,451,1106,NA,37.79,-122.19
"235",140500,2.9297,NA,3144,761,1737,NA,37.79,-122.19
"236",126000,2.3036,35,1802,459,1009,390,37.79,-122.2
"237",122000,2.6667,49,882,NA,737,210,37.79,-122.2
"238",134700,2.619,44,1621,452,1354,491,37.79,-122.2
"239",139400,2.4167,45,2115,533,1530,474,37.79,-122.21
"240",115400,2.7788,45,2021,528,1410,NA,37.79,-122.2
"241",137300,2.7352,46,2239,508,1390,569,37.78,-122.21
"242",137000,1.8472,NA,1477,300,1065,269,37.78,-122.21
"243",142600,2.6583,52,NA,224,792,245,37.78,-122.21
"244",137500,3.0536,49,898,244,779,245,37.78,-122.21
"245",111700,2.3906,44,2968,710,2269,610,37.78,-122.22
"246",NA,NA,43,1702,460,1227,407,37.78,-122.21
"247",111300,2.625,NA,881,248,NA,NA,37.78,-122.21
"248",114800,2.8015,40,494,NA,547,135,37.77,-122.22
"249",102300,1.7276,50,NA,NA,1807,440,37.78,-122.22
"250",131900,NA,NA,1678,514,1700,495,37.78,-122.22
"251",119100,2.489,51,1637,463,1543,393,37.78,-122.22
"252",80600,NA,NA,1420,314,1085,NA,37.76,-122.21
"253",80600,4.0904,52,591,173,353,137,37.77,-122.21
"254",88800,2.6765,52,745,153,473,149,37.77,-122.21
"255",102400,2.4338,49,2272,498,1621,483,37.77,-122.2
"256",98700,2.3309,46,1234,375,1183,354,37.77,-122.21
"257",100000,2.2604,43,1017,328,836,NA,37.77,-122.21
"258",92300,1.8039,42,NA,254,900,263,37.77,-122.19
"259",94800,2.2562,39,2689,NA,NA,537,37.77,-122.2
"260",102000,2.0562,41,1547,415,1024,341,37.77,-122.2
"261",158400,3.5398,52,2300,443,1225,423,37.78,-122.2
"262",121600,3.1167,39,NA,399,1071,376,37.78,-122.2
"263",129100,2.5401,50,1867,403,1128,378,37.78,-122.2
"264",121400,2.898,43,2430,502,1537,484,37.77,-122.2
"265",102800,2.3125,44,1729,414,NA,393,37.78,-122.21
"266",160000,NA,52,1026,180,469,168,37.78,-122.19
"267",143900,3.3715,52,2170,428,1086,425,37.77,-122.19
"268",151200,3.5114,52,NA,445,NA,417,37.77,-122.19
"269",164400,4.3125,52,2492,415,1109,375,37.78,-122.19
"270",156500,NA,52,2198,397,984,369,37.78,-122.19
"271",225000,3.875,33,142,31,575,NA,37.78,-122.18
"272",174200,5.2328,49,1183,205,496,209,37.78,-122.19
"273",166900,3.7262,52,1070,193,555,190,37.78,-122.19
"274",163500,4.5893,45,1766,NA,869,327,37.78,-122.2
"275",253000,5.2578,39,617,95,236,106,37.79,-122.18
"276",240700,7.0875,41,1411,NA,626,214,37.79,-122.18
"277",208100,3.9712,46,2109,387,922,329,37.79,-122.18
"278",198100,2.9514,NA,1229,NA,582,256,37.79,-122.19
"279",172800,2.6667,50,954,NA,546,201,37.79,-122.19
"280",336700,5.4446,37,1643,262,620,266,37.81,-122.18
"281",318200,6.2838,34,1355,195,442,195,37.8,-122.18
"282",285800,6.7527,23,2317,336,955,328,37.8,-122.18
"283",293000,7.0712,24,2459,317,916,324,37.77,-122.13
"284",371000,5.9849,22,12842,2048,4985,1967,37.79,-122.16
"285",157300,NA,42,1524,260,651,267,37.78,-122.17
"286",135300,2.875,NA,3326,746,1704,703,37.77,-122.17
"287",136700,3.4205,43,1985,440,1085,407,37.78,-122.18
"288",160700,3.2984,50,1642,322,713,284,37.78,-122.18
"289",140600,3.875,49,893,177,468,181,37.78,-122.17
"290",144000,4.175,52,653,128,296,121,37.78,-122.17
"291",161900,4.375,47,1256,217,NA,218,37.77,-122.16
"292",156300,4.7708,48,977,194,446,180,37.77,-122.16
"293",NA,3.5739,45,2324,397,968,384,37.77,-122.16
"294",145800,3.0958,39,1583,349,857,316,37.77,-122.16
"295",141900,3.3958,39,1612,342,912,322,37.77,-122.17
"296",NA,1.871,31,2424,533,1360,452,37.77,-122.17
"297",90600,1.9356,NA,1594,367,1074,355,37.76,-122.17
"298",107900,2.1842,47,2118,413,965,382,37.76,-122.17
"299",107000,NA,37,1575,358,NA,320,37.76,-122.18
"300",NA,2.4333,38,1764,NA,987,354,37.76,-122.17
"301",89500,1.9479,50,NA,261,907,246,37.76,-122.18
"302",93800,3.9063,52,754,175,447,165,37.76,-122.18
"303",96700,1.8407,49,2308,452,1299,451,37.76,-122.18
"304",97500,2.0786,27,909,236,396,157,37.77,-122.18
"305",97300,2.8125,42,1180,257,NA,268,37.77,-122.18
"306",91200,1.8913,43,2018,408,1111,367,37.76,-122.18
"307",91400,1.7056,49,1368,282,790,269,37.76,-122.19
"308",96200,2.2768,52,2744,547,1479,554,37.77,-122.18
"309",120100,3.2552,NA,2107,471,1173,438,37.77,-122.18
"310",100000,2.0556,52,1748,362,1029,366,37.77,-122.18
"311",94700,2.4659,52,2024,391,1030,350,37.76,-122.19
"312",85700,NA,47,1116,259,826,279,37.76,-122.2
"313",89300,2.0469,41,2036,510,1412,454,37.77,-122.19
"314",101400,2.7159,45,1852,393,1132,349,37.77,-122.19
"315",72500,1.2083,41,NA,207,522,159,37.76,-122.19
"316",NA,1.925,45,995,238,630,237,37.76,-122.19
"317",70000,1.5809,36,NA,132,531,133,37.75,-122.2
"318",84600,NA,37,2680,736,1925,667,37.76,-122.2
"319",81800,0.7683,38,1493,370,1144,351,37.76,-122.19
"320",81400,NA,19,NA,565,1481,520,37.75,-122.19
"321",81800,0.8012,28,856,189,435,162,37.75,-122.19
"322",85800,1.9479,NA,1293,297,984,303,37.76,-122.19
"323",87100,1.1765,36,847,212,567,159,37.74,-122.19
"324",83500,2.3456,42,541,154,380,123,37.74,-122.18
"325",NA,NA,44,1066,253,825,NA,37.73,-122.19
"326",83400,2.5139,43,707,147,417,155,37.74,-122.19
"327",84700,1.2625,45,1528,291,801,287,37.73,-122.19
"328",80000,2.9063,NA,NA,215,646,198,37.73,-122.18
"329",NA,NA,43,1391,293,855,285,37.73,-122.18
"330",79700,2.1111,44,NA,119,435,136,37.73,-122.18
"331",82400,2.455,42,4074,874,2736,780,37.73,-122.18
"332",97700,2.4028,41,NA,445,1481,414,37.74,-122.17
"333",NA,2.15,47,463,NA,NA,NA,37.74,-122.17
"334",101600,2.4776,43,818,193,494,179,37.74,-122.17
"335",86500,2.1587,43,1473,NA,1231,341,37.73,-122.17
"336",90500,1.8438,35,NA,126,323,109,37.74,-122.18
"337",107600,3.0298,46,1026,226,NA,225,37.74,-122.17
"338",84200,2.25,46,769,183,NA,178,37.74,-122.17
"339",88900,2.2467,46,NA,NA,1339,354,37.74,-122.18
"340",80700,4.0469,45,330,76,282,80,37.75,-122.18
"341",NA,1.325,46,NA,218,621,195,37.75,-122.18
"342",85100,1.6196,38,992,279,732,259,37.75,-122.17
"343",82000,2.1731,45,990,261,901,260,37.75,-122.18
"344",NA,1.9167,36,1126,263,482,150,37.75,-122.19
"345",NA,2.069,43,1036,233,652,213,37.75,-122.18
"346",82100,1.712,36,1047,214,NA,166,37.75,-122.18
"347",89300,NA,NA,1280,NA,999,286,37.76,-122.17
"348",98300,1.9821,43,1587,320,907,306,37.75,-122.17
"349",92300,2.5043,41,NA,271,NA,230,37.75,-122.17
"350",88800,2.3281,44,1218,248,763,254,37.75,-122.17
"351",90000,1.4375,48,1751,390,935,349,37.75,-122.17
"352",95500,2.5122,45,NA,514,1437,484,37.76,-122.16
"353",NA,1.5625,38,2457,624,1516,482,37.75,-122.16
"354",NA,NA,47,998,211,597,185,37.75,-122.17
"355",94800,1.8426,40,1685,343,949,342,37.76,-122.17
"356",164300,4.6696,46,1827,307,881,302,37.76,-122.16
"357",NA,NA,36,2781,NA,1438,519,37.76,-122.16
"358",196900,6.0749,39,1823,286,763,270,37.76,-122.15
"359",279100,4.8304,27,2229,NA,1297,355,37.77,-122.14
"360",252800,5.5701,34,1513,231,545,211,37.76,-122.14
"361",275400,5.37,26,3266,491,1222,533,37.76,-122.13
"362",250000,6.86,33,1809,261,808,219,37.75,-122.12
"363",329800,7.6923,28,794,111,329,109,37.75,-122.12
"364",195500,4.0313,36,690,105,299,109,37.75,-122.14
"365",NA,6.8323,NA,1334,NA,579,202,37.75,-122.14
"366",311100,4.975,30,NA,54,137,50,37.75,-122.13
"367",330000,5.3602,36,768,NA,229,93,37.75,-122.13
"368",248900,5,41,4400,NA,1476,648,37.74,-122.13
"369",142900,2.925,46,954,161,429,154,37.75,-122.16
"370",126300,3.8913,40,1445,256,849,255,37.75,-122.15
"371",135800,3.225,44,1938,399,NA,331,37.75,-122.15
"372",130600,3.1458,41,NA,178,571,191,37.74,-122.15
"373",107900,2.537,NA,1790,454,1137,386,37.75,-122.16
"374",111100,2.5568,44,617,131,378,135,37.75,-122.16
"375",122000,NA,43,1383,275,853,272,37.74,-122.15
"376",NA,NA,49,1325,277,764,282,37.74,-122.15
"377",95200,1.8235,40,1227,294,928,NA,37.75,-122.16
"378",94300,3.8047,35,667,140,406,133,37.75,-122.16
"379",92500,NA,34,1223,281,NA,280,37.74,-122.17
"380",91800,2.4962,NA,1379,287,835,NA,37.75,-122.17
"381",109400,4.0417,43,1534,300,826,NA,37.74,-122.16
"382",129500,3.4844,46,1029,181,567,211,37.74,-122.16
"383",143400,4.1458,52,771,147,355,144,37.74,-122.16
"384",98200,2.625,47,824,223,533,166,37.74,-122.16
"385",103100,2.0227,NA,1097,239,609,215,37.74,-122.16
"386",276800,3.3333,49,1283,238,576,236,37.9,-122.29
"387",270900,5.338,52,1604,263,594,286,37.9,-122.29
"388",246200,3.4732,52,2248,422,870,377,37.89,-122.29
"389",224200,3.5125,38,2263,522,1027,509,37.9,-122.3
"390",229100,NA,52,1571,349,693,326,37.89,-122.29
"391",211600,2.8036,46,1520,402,NA,NA,37.89,-122.3
"392",256100,4.5824,15,5083,1212,2420,1146,37.9,-122.3
"393",206300,3.0208,36,1077,293,518,NA,37.89,-122.3
"394",221300,4.0875,52,1248,283,620,275,37.89,-122.3
"395",207400,4.5268,42,1342,291,551,266,37.89,-122.33
"396",350000,1.7375,37,3061,930,2556,924,37.88,-122.34
"397",218200,3.1795,52,3171,698,1498,696,37.89,-122.29
"398",216700,NA,50,1211,261,523,227,37.88,-122.29
"399",270600,5.1675,52,979,NA,374,153,37.89,-122.29
"400",261400,5.1696,52,2269,380,NA,371,37.89,-122.29
"401",261300,4.2614,52,1844,332,769,334,37.88,-122.28
"402",232200,5.0551,52,2178,421,940,423,37.89,-122.29
"403",375400,5.6228,42,1650,274,645,256,37.9,-122.27
"404",357300,7.8864,52,1927,279,705,288,37.9,-122.26
"405",374400,7.9556,52,2079,273,684,275,37.9,-122.27
"406",NA,NA,52,1803,240,572,236,37.9,-122.27
"407",417500,NA,52,2041,270,671,253,37.9,-122.27
"408",430500,8.8342,52,3046,373,975,365,37.89,-122.27
"409",362900,7.1754,52,2318,328,779,312,37.9,-122.28
"410",397000,10.0825,52,2003,250,658,244,37.9,-122.28
"411",346800,NA,52,NA,328,819,335,37.9,-122.28
"412",327100,NA,52,1225,169,412,168,37.89,-122.28
"413",NA,4.5893,NA,NA,408,NA,369,37.89,-122.28
"414",292000,5.4171,NA,2070,NA,722,NA,37.89,-122.28
"415",270900,4.125,NA,2616,473,1085,487,37.89,-122.28
"416",371100,7.266,52,2640,366,973,355,37.89,-122.27
"417",335600,5.3989,52,1978,293,723,272,37.89,-122.27
"418",371300,7.8336,37,2220,NA,903,362,37.9,-122.26
"419",344000,6.1593,41,1125,195,356,181,37.89,-122.25
"420",342200,6.381,52,3078,494,NA,462,37.89,-122.26
"421",NA,NA,52,3706,NA,1205,504,37.89,-122.26
"422",350000,NA,37,3000,457,987,450,37.89,-122.25
"423",368600,6.7138,42,2863,460,1031,NA,37.89,-122.25
"424",391800,6.2425,52,2551,417,894,404,37.88,-122.26
"425",415300,5.7979,52,2255,410,823,377,37.88,-122.26
"426",284900,4.2813,52,3360,648,1232,621,37.88,-122.27
"427",287500,NA,NA,1693,391,669,367,37.88,-122.27
"428",272900,3.0132,44,2252,592,989,550,37.88,-122.27
"429",NA,4.1429,NA,2495,491,1058,464,37.88,-122.28
"430",254500,4.1912,NA,1193,200,506,207,37.88,-122.28
"431",NA,3.9167,52,1172,215,489,218,37.88,-122.28
"432",218400,3.8897,52,2159,424,NA,388,37.88,-122.29
"433",229200,3.1065,48,2365,490,NA,475,37.88,-122.29
"434",NA,2.9926,46,1895,442,920,425,37.88,-122.29
"435",179300,3.556,NA,1650,395,841,380,37.88,-122.29
"436",187500,1.475,45,NA,146,749,137,37.88,-122.3
"437",138800,1.6971,52,409,97,208,98,37.88,-122.3
"438",150000,2.1705,10,503,NA,228,100,37.87,-122.3
"439",140600,2.75,NA,499,127,287,128,37.86,-122.3
"440",120000,2.5682,NA,477,119,218,106,37.85,-122.29
"441",144800,2.9,46,1647,376,NA,355,37.88,-122.3
"442",144800,2.2208,52,3123,749,1695,684,37.87,-122.3
"443",245500,NA,52,957,188,403,172,37.88,-122.28
"444",200000,3.5156,52,589,132,288,NA,37.87,-122.28
"445",173700,1.9805,49,NA,548,963,521,37.87,-122.28
"446",185600,2.6684,50,1829,536,1129,516,37.87,-122.29
